,feature_indices,feature_names
0,0,TAB_4_0
1,1,TAB_2_3
2,2,SPAC_9_0
3,3,TAAC_7_3
4,4,SPAC_10_0
5,5,TAAC_10_0
6,6,TAAC_7_7
7,7,ASAC
8,8,TAB_5_4
9,9,TAAC_2_0
10,10,TAAC_6_4
11,11,TACCOS_1
12,12,TAAC_1_6
13,13,SP_0
14,14,TAAC_10_4
15,15,TAAC_3_0
16,16,SPB_0_2
17,18,SPAC_1_0
18,19,TAB_2_1
19,20,TAAC_3_4
20,21,TAAC_3_6
21,22,TAB_1_5
22,23,TAB_7_3
23,24,TAAC_6_5
24,26,TAB_3_2
25,27,TAAC_5_6
26,28,TAAC_9_2
27,32,SPAC_6_0
28,33,SSO_H
29,34,SPAC_8_0
30,35,TAAC_3_1
31,36,SSO_C
32,38,SPB_0_0
33,44,TAAC_5_7
34,47,SPB_1_2
35,48,SPAC_1_2
36,51,TAAC_8_5
37,53,TAB_5_6
38,55,SPB_1_1
39,56,TAAC_1_2
40,57,TAAC_2_6
41,59,SSC_H
42,60,TAAC_2_3
43,64,TAB_7_2
44,65,TAB_0_4
45,67,TAB_6_2
46,68,TAB_0_1
47,69,TAAC_4_6
48,70,TAAC_2_2
49,71,TAB_2_2
50,72,TAB_7_7
51,73,TAAC_10_2
52,78,TAAC_9_6
53,80,TAB_6_6
54,82,TAAC_9_3
55,85,SSC_E
56,91,TAAC_2_7
57,92,TAB_6_7
58,97,TAB_7_6
59,98,TAAC_1_7
60,101,TAAC_10_1
61,102,TAAC_10_5
62,103,TAB_1_3
63,110,TAAC_7_1
64,111,TAB_4_5
65,116,SPAC_3_0
66,120,TAAC_8_0
67,126,TAAC_4_7
68,129,TAB_0_2
69,135,TACSIN_1
70,144,TAAC_4_2
71,145,TAAC_9_5
72,155,TAB_2_0
