,feature_names
0,P30_NG_F
1,P100_NG_YS
2,P80_NG_PI
3,P70_NG_VG
4,P40_NG_SI
5,P70_NG_LQ
6,P80_NG_GH
7,P100_NG_GF
8,P50_NG_VT
9,P70_NG_QV
10,P60_NG_G
11,P80_NG_A
12,P80_NG_DG
13,P70_NG_RL
14,P70_NG_FA
15,P60_NG_LV
16,P50_NG_VD
17,P90_NG_DA
18,P30_NG_I
19,P100_NG_SP
20,P70_NG_TN
21,P80_NG_K
22,P30_NG_FV
23,P40_NG_LP
24,P70_NG_K
25,P100_NG_KR
26,P60_NG_YG
27,P90_NG_R
28,P80_NG_P
29,P80_NG_L
30,P100_NG_SR
31,P100_NG_TK
32,P60_NG_GP
33,P100_NG_EG
34,P60_NG_ER
35,P90_NG_SP
36,P70_NG_LL
37,P80_NG_LS
38,P90_NG_EV
39,P80_NG_KT
40,P40_NG_IA
41,P80_NG_RA
42,P100_NG_DA
43,P20_NG_VD
44,P50_NG_LL
45,P80_NG_VD
46,P70_NG_W
47,P90_NG_AG
48,P30_NG_AT
49,P90_NG_VV
50,P50_NG_SS
51,P90_NG_DG
52,P100_NG_RE
53,P80_NG_TA
54,P100_NG_GP
55,P80_NG_LR
56,P70_NG_A
57,P60_NG_Y
58,P70_NG_G
59,P70_NG_MA
60,P90_NG_AH
61,P80_NG_CA
62,P80_NG_GG
63,P80_NG_VP
64,P20_NG_F
65,P70_NG_VT
66,P60_NG_FT
67,P90_NG_PR
68,P30_NG_W
69,P70_NG_M
70,P100_NG_ER
71,P50_NG_GY
72,P40_NG_DA
73,P80_NG_R
74,P40_NG_GV
75,P50_NG_ST
76,P30_NG_K
77,P70_NG_QE
78,P90_NG_GA
79,P90_NG_TL
80,P50_NG_TY
81,P50_NG_K
82,P100_NG_QF
83,P100_NG_AF
84,P30_NG_IL
85,P100_NG_AK
86,P100_NG_RR
87,P80_NG_IV
88,P50_NG_LK
89,P90_NG_YG
90,P70_NG_GH
91,P100_NG_VG
92,P90_NG_LQ
93,P10_NG_V
94,P90_NG_KS
95,P60_NG_K
96,P80_NG_AD
97,P70_NG_GS
98,P100_NG_DL
99,P60_NG_EE
100,P70_NG_LS
101,P100_NG_YT
102,P80_NG_DK
103,P50_NG_KK
104,P90_NG_NT
105,P90_NG_LI
106,P100_NG_GY
107,P80_NG_RR
108,P90_NG_ID
109,P100_NG_SG
110,P80_NG_QV
111,P50_NG_KS
112,P80_NG_GT
113,P50_NG_YG
114,P60_NG_LY
115,P10_NG_M
116,P90_NG_PF
117,P50_NG_IA
118,P60_NG_AG
119,P20_NG_SG
120,P70_NG_PG
121,P90_NG_D
