SeqID,Class,QSOGran1,QSOGran10,QSOGran11,QSOGran12,QSOGran13,QSOGran14,QSOGran15,QSOGran16,QSOGran17,QSOGran18,QSOGran19,QSOGran2,QSOGran20,QSOGran21,QSOGran22,QSOGran23,QSOGran24,QSOGran25,QSOGran26,QSOGran27,QSOGran28,QSOGran29,QSOGran3,QSOGran30,QSOGran31,QSOGran32,QSOGran33,QSOGran34,QSOGran35,QSOGran36,QSOGran37,QSOGran38,QSOGran39,QSOGran4,QSOGran40,QSOGran41,QSOGran42,QSOGran43,QSOGran5,QSOGran6,QSOGran7,QSOGran8,QSOGran9,QSOSW1,QSOSW10,QSOSW11,QSOSW12,QSOSW13,QSOSW14,QSOSW15,QSOSW16,QSOSW17,QSOSW18,QSOSW19,QSOSW2,QSOSW20,QSOSW21,QSOSW22,QSOSW23,QSOSW24,QSOSW25,QSOSW26,QSOSW27,QSOSW28,QSOSW29,QSOSW3,QSOSW30,QSOSW31,QSOSW32,QSOSW33,QSOSW34,QSOSW35,QSOSW36,QSOSW37,QSOSW38,QSOSW39,QSOSW4,QSOSW40,QSOSW41,QSOSW42,QSOSW43,QSOSW5,QSOSW6,QSOSW7,QSOSW8,QSOSW9
1AKHA,1,4.2811e-05,4.2811e-05,0.0001284329,0.0001070275,2.14055e-05,8.5622e-05,6.42165e-05,0.0,8.5622e-05,4.2811e-05,4.2811e-05,0.0002568659,2.14055e-05,0.0398049776,0.063983598,0.067025013,0.0355521905,0.0430542396,0.0637832125,0.0508167317,0.0415226486,0.0616114483,6.42165e-05,0.0336969876,0.0338292188,0.0463914689,0.0432595168,0.042463196,0.043438127,0.0428477507,0.0280627975,0.0465138166,0.0322845391,0.0,0.0259161711,0.0397083769,0.0390905785,0.0340590654,0.0,0.0001070275,0.0001070275,0.0,6.42165e-05,2.75303e-05,2.75303e-05,8.2591e-05,6.88258e-05,1.37652e-05,5.50606e-05,4.12955e-05,0.0,5.50606e-05,2.75303e-05,2.75303e-05,0.0001651819,1.37652e-05,0.0502965899,0.0617507344,0.0585784267,0.0489219329,0.0502041319,0.0532354191,0.0422966627,0.0492951332,0.0442805685,4.12955e-05,0.0372456724,0.0421432618,0.0457829447,0.0371581826,0.0456044306,0.0401169875,0.0383349312,0.0399254236,0.0398338669,0.0312683286,0.0,0.0353414888,0.0390095622,0.0309424152,0.0376069951,0.0,6.88258e-05,6.88258e-05,0.0,4.12955e-05
1AOIA,1,7.18184e-05,3.59092e-05,6.15586e-05,4.6169e-05,1.53897e-05,1.53897e-05,2.56494e-05,2.05195e-05,3.59092e-05,5.1299e-06,1.53897e-05,7.69483e-05,2.56494e-05,0.0443048607,0.033605814,0.0606189243,0.047423297,0.0388887455,0.0388572698,0.0460107002,0.0423294452,0.0422450886,5.1299e-06,0.0491019965,0.0508677051,0.0385644637,0.0526024831,0.0456177773,0.0344870656,0.0475475823,0.0405396898,0.0364411512,0.04195872,2.05195e-05,0.0481190136,0.036265597,0.0355213726,0.0474913001,5.1299e-06,3.07793e-05,3.59092e-05,2.56494e-05,1.53897e-05,4.74344e-05,2.37172e-05,4.06581e-05,3.04936e-05,1.01645e-05,1.01645e-05,1.69409e-05,1.35527e-05,2.37172e-05,3.3882e-06,1.01645e-05,5.08226e-05,1.69409e-05,0.0474072805,0.0436406167,0.0488634435,0.0469115901,0.0456992102,0.0423252537,0.0462168714,0.0473916663,0.044739167,3.3882e-06,0.0440278955,0.0497531665,0.0414495974,0.0426413871,0.0416287969,0.0405336272,0.0405945748,0.0418500012,0.038741461,0.0419792315,1.35527e-05,0.0428596058,0.0407022263,0.0373377687,0.0423159207,3.3882e-06,2.0329e-05,2.37172e-05,1.69409e-05,1.01645e-05
1B6WA,1,9.80557e-05,6.12848e-05,2.45139e-05,0.0001103127,4.90279e-05,2.45139e-05,1.2257e-05,2.45139e-05,1.2257e-05,1.2257e-05,0.0,6.12848e-05,6.12848e-05,0.0475969244,0.041745346,0.0654947762,0.0494707907,0.0435939696,0.0437255612,0.0430988891,0.0533345666,0.0456366221,2.45139e-05,0.0260359874,0.0435576353,0.0517484987,0.0321219259,0.0368675941,0.0387652786,0.0525738301,0.0469011743,0.0306684954,0.0438463183,4.90279e-05,0.0492833424,0.0377600566,0.0363577676,0.0389811755,4.90279e-05,9.80557e-05,1.2257e-05,2.45139e-05,2.45139e-05,8.35902e-05,5.22439e-05,2.08975e-05,9.4039e-05,4.17951e-05,2.08975e-05,1.04488e-05,2.08975e-05,1.04488e-05,1.04488e-05,0.0,5.22439e-05,5.22439e-05,0.0498241131,0.0485812549,0.0597189498,0.0459491931,0.0467093129,0.0485801678,0.0446178242,0.0516691489,0.050351717,2.08975e-05,0.040311354,0.0467254073,0.0483721337,0.0372942276,0.0425492772,0.0377856735,0.0472828224,0.0426416106,0.0312101037,0.0358125935,4.17951e-05,0.0396871315,0.0303222954,0.0372559642,0.0360372071,4.17951e-05,8.35902e-05,1.04488e-05,2.08975e-05,2.08975e-05
1C1KA,1,1.62382e-05,2.48986e-05,1.29906e-05,2.27335e-05,1.08255e-05,1.73207e-05,2.1651e-06,8.6604e-06,6.4953e-06,3.2476e-06,1.84033e-05,1.40731e-05,8.6604e-06,0.0469656538,0.0445460905,0.0486682359,0.0434613938,0.040267784,0.0413513101,0.0448567998,0.0448315806,0.0458211377,1.62382e-05,0.0416611377,0.0427957712,0.0409553749,0.0420163305,0.0441951106,0.04422716,0.0498848985,0.0420592966,0.0428741558,0.0430351818,1.73207e-05,0.0393307855,0.0429566079,0.0410238,0.0419805726,5.4127e-06,6.4953e-06,1.08255e-05,8.6604e-06,2.1651e-06,1.48615e-05,2.27876e-05,1.18892e-05,2.08061e-05,9.9076e-06,1.58522e-05,1.9815e-06,7.9261e-06,5.9446e-06,2.9723e-06,1.6843e-05,1.28799e-05,7.9261e-06,0.0443734685,0.043121931,0.0483251412,0.0450827931,0.0418530969,0.0434373662,0.04518298,0.0460928678,0.0457367429,1.48615e-05,0.041880827,0.0422035722,0.0443203605,0.0428828686,0.046004792,0.0434685223,0.0460044364,0.0413735483,0.0415032849,0.0413008446,1.58522e-05,0.0414619089,0.0426022376,0.0395342324,0.0420381716,4.9538e-06,5.9446e-06,9.9076e-06,7.9261e-06,1.9815e-06
1C6VX,1,3.92141e-05,4.90176e-05,9.8035e-06,3.92141e-05,1.9607e-05,1.9607e-05,3.92141e-05,9.8035e-06,9.8035e-06,3.92141e-05,3.92141e-05,5.88211e-05,4.90176e-05,0.0622288054,0.0530683546,0.0577851005,0.0412889681,0.0410066587,0.0499203669,0.0408075678,0.0471510413,0.0557126308,9.8035e-06,0.050304959,0.044934644,0.0437159701,0.0325919909,0.0439362391,0.0418802998,0.0345291595,0.0396660223,0.0468357471,0.0387226553,7.84282e-05,0.0364454299,0.0380868859,0.032891676,0.0257045456,2.94106e-05,6.86246e-05,7.84282e-05,4.90176e-05,4.90176e-05,3.21161e-05,4.01451e-05,8.029e-06,3.21161e-05,1.6058e-05,1.6058e-05,3.21161e-05,8.029e-06,8.029e-06,3.21161e-05,3.21161e-05,4.81741e-05,4.01451e-05,0.0546364264,0.0471151704,0.0545639558,0.0448524296,0.0452227415,0.0434301842,0.0464142796,0.0528838624,0.0507029733,8.029e-06,0.0467006426,0.0462662278,0.0424537642,0.0412515208,0.0472199248,0.0429038892,0.0412007512,0.0405522882,0.0414806478,0.0360554583,6.42321e-05,0.0347472881,0.0343547166,0.0340962127,0.030252323,2.40871e-05,5.62031e-05,6.42321e-05,4.01451e-05,4.01451e-05
1C6VD,1,5.375e-06,1.20937e-05,8.0625e-06,8.0625e-06,9.4062e-06,9.4062e-06,1.075e-05,4.0312e-06,6.7187e-06,3.49375e-05,8.0625e-06,1.34375e-05,6.7187e-06,0.0481013588,0.0489449729,0.04520375,0.0496789324,0.0364156991,0.042399226,0.0428870037,0.0446302363,0.0442999316,5.375e-06,0.0460769861,0.0459917579,0.0400188525,0.0437821883,0.0435585936,0.0410566289,0.041006784,0.0426104044,0.0402474238,0.0435223447,6.7187e-06,0.0401204172,0.0447752567,0.0418680954,0.0425841247,2.41875e-05,8.0625e-06,1.20937e-05,4.0312e-06,2.15e-05,7.5008e-06,1.68769e-05,1.12513e-05,1.12513e-05,1.31265e-05,1.31265e-05,1.50017e-05,5.6256e-06,9.376e-06,4.87554e-05,1.12513e-05,1.87521e-05,9.376e-06,0.043189219,0.0444964556,0.0515131708,0.046079965,0.046182301,0.0500295707,0.0456212428,0.0428337944,0.0525522242,7.5008e-06,0.0401327671,0.0425400052,0.0460450335,0.04395316,0.03847767,0.0459749869,0.0355574646,0.0403327707,0.0421743301,0.037376003,9.376e-06,0.0413105005,0.0454870288,0.0383267852,0.0395078918,3.37538e-05,1.12513e-05,1.68769e-05,5.6256e-06,3.00033e-05
1CI4B,1,4.14639e-05,1.77702e-05,3.55404e-05,3.55404e-05,2.9617e-05,3.55404e-05,5.9234e-06,5.9234e-06,1.18468e-05,1.77702e-05,5.9234e-06,5.9234e-06,3.55404e-05,0.0496603502,0.0509893178,0.0481361638,0.0488629921,0.0427999523,0.0506829721,0.0436230942,0.0451547981,0.045363011,1.18468e-05,0.0413776744,0.0420236957,0.0429381562,0.047677259,0.0370352856,0.0430548094,0.0428768872,0.0349312225,0.0397243955,0.0356796737,4.73873e-05,0.0415984637,0.0417295853,0.0385730509,0.0449859296,5.33107e-05,2.9617e-05,2.9617e-05,4.14639e-05,2.36936e-05,4.9182e-05,2.1078e-05,4.2156e-05,4.2156e-05,3.513e-05,4.2156e-05,7.026e-06,7.026e-06,1.4052e-05,2.1078e-05,7.026e-06,7.026e-06,4.2156e-05,0.0426425363,0.0543061327,0.048039512,0.0490988013,0.0520505164,0.0502541626,0.0450225338,0.0454175387,0.0483747731,1.4052e-05,0.0452048548,0.0382498861,0.0408932036,0.0450642312,0.0404897534,0.0446519169,0.0412197817,0.038866774,0.0356822976,0.0365630961,5.6208e-05,0.0420814293,0.0408565914,0.0367892611,0.0375621281,6.3234e-05,3.513e-05,3.513e-05,4.9182e-05,2.8104e-05
1D4UA,1,7.449e-06,1.48981e-05,2.97961e-05,4.09697e-05,1.11736e-05,2.23471e-05,7.449e-06,7.449e-06,1.11736e-05,2.60716e-05,1.48981e-05,2.60716e-05,1.48981e-05,0.0478029983,0.0496610781,0.0395056587,0.051605529,0.0497916669,0.0493437168,0.0435038188,0.0412739719,0.0408820632,7.449e-06,0.0440188621,0.0378384535,0.047726907,0.0482764719,0.0412560523,0.0440483947,0.0486675016,0.0368597095,0.0337130471,0.039657876,4.09697e-05,0.039028405,0.040283847,0.0432548943,0.041589379,2.97961e-05,4.09697e-05,2.23471e-05,7.449e-06,2.60716e-05,7.7774e-06,1.55549e-05,3.11097e-05,4.27759e-05,1.16662e-05,2.33323e-05,7.7774e-06,7.7774e-06,1.16662e-05,2.7221e-05,1.55549e-05,2.7221e-05,1.55549e-05,0.0463958178,0.0494450657,0.0492348949,0.0481779037,0.041515199,0.0499824629,0.0468000904,0.0410212964,0.0423408668,7.7774e-06,0.0445624093,0.0399279306,0.0479878436,0.0434553452,0.0429184625,0.0372731215,0.0451063782,0.0408048206,0.0420705969,0.0408196342,4.27759e-05,0.0386327799,0.0395485214,0.0407038051,0.0408469944,3.11097e-05,4.27759e-05,2.33323e-05,7.7774e-06,2.7221e-05
1D8BA,1,6.68527e-05,3.34264e-05,0.0001114212,7.79948e-05,5.57106e-05,4.45685e-05,4.45685e-05,6.68527e-05,4.45685e-05,0.0,3.34264e-05,8.91369e-05,3.34264e-05,0.0542423833,0.0501453244,0.0584991567,0.0478550952,0.040286209,0.0433190554,0.0464438226,0.0499334771,0.0423165472,6.68527e-05,0.0391087447,0.0473527549,0.0448135384,0.03701281,0.0478799869,0.0481566463,0.0457170814,0.046196891,0.0476066138,0.0332963012,4.45685e-05,0.033522637,0.0361530241,0.0290017699,0.0302487601,0.0,4.45685e-05,0.0,3.34264e-05,0.0,4.56645e-05,2.28323e-05,7.61076e-05,5.32753e-05,3.80538e-05,3.0443e-05,3.0443e-05,4.56645e-05,3.0443e-05,0.0,2.28323e-05,6.08861e-05,2.28323e-05,0.0505618433,0.046591169,0.0561328929,0.0476007881,0.0426674313,0.0486586482,0.0509893137,0.0544391446,0.0439603355,4.56645e-05,0.0443428939,0.0443351113,0.0429503457,0.0387492253,0.0448585043,0.0391813769,0.0364970075,0.0458035987,0.0459138111,0.0335839737,3.0443e-05,0.0371651494,0.0392339502,0.0322882791,0.0328863454,0.0,3.0443e-05,0.0,2.28323e-05,0.0
1DMLG,1,1.11132e-05,3.3823e-06,8.2141e-06,4.3486e-06,5.315e-06,1.063e-05,1.01468e-05,8.6973e-06,9.1805e-06,2.4159e-06,2.8991e-06,8.6973e-06,1.25628e-05,0.0479285982,0.0443459002,0.0489921025,0.0404961351,0.0423882681,0.0425041805,0.0427877663,0.0414066755,0.0437582253,6.7646e-06,0.0435644347,0.0423261066,0.0456969687,0.0449001902,0.0431746903,0.0410994011,0.0480080783,0.0477744599,0.041646752,0.0422896587,6.7646e-06,0.0409478946,0.0417150559,0.040456781,0.0416380241,1.20796e-05,4.3486e-06,9.6637e-06,1.063e-05,5.7982e-06,1.15553e-05,3.5168e-06,8.5408e-06,4.5216e-06,5.5264e-06,1.10529e-05,1.05504e-05,9.0432e-06,9.5456e-06,2.512e-06,3.0144e-06,9.0432e-06,1.30625e-05,0.0450464673,0.0462708743,0.0467434915,0.0440756859,0.0428990997,0.0431775936,0.0435638705,0.0403167242,0.0446432326,7.0336e-06,0.0435061277,0.0457508094,0.0438505269,0.0447923059,0.0446427697,0.0412646938,0.041647433,0.0459165724,0.0414910432,0.0440329043,7.0336e-06,0.0426141138,0.0423995458,0.0400737462,0.0411206044,1.25601e-05,4.5216e-06,1.0048e-05,1.10529e-05,6.0288e-06
