SeqID,Class,ASAC,SPAC_10_0,SPAC_10_1,SPAC_10_2,SPAC_1_0,SPAC_1_1,SPAC_1_2,SPAC_2_0,SPAC_2_1,SPAC_2_2,SPAC_3_0,SPAC_3_1,SPAC_3_2,SPAC_4_0,SPAC_4_1,SPAC_4_2,SPAC_5_0,SPAC_5_1,SPAC_5_2,SPAC_6_0,SPAC_6_1,SPAC_6_2,SPAC_7_0,SPAC_7_1,SPAC_7_2,SPAC_8_0,SPAC_8_1,SPAC_8_2,SPAC_9_0,SPAC_9_1,SPAC_9_2,SPB_0_0,SPB_0_1,SPB_0_2,SPB_1_0,SPB_1_1,SPB_1_2,SPB_2_0,SPB_2_1,SPB_2_2,SP_0,SP_1,SP_2,SSC_C,SSC_E,SSC_H,SSO_C,SSO_E,SSO_H,TAAC_10_0,TAAC_10_1,TAAC_10_2,TAAC_10_3,TAAC_10_4,TAAC_10_5,TAAC_10_6,TAAC_10_7,TAAC_1_0,TAAC_1_1,TAAC_1_2,TAAC_1_3,TAAC_1_4,TAAC_1_5,TAAC_1_6,TAAC_1_7,TAAC_2_0,TAAC_2_1,TAAC_2_2,TAAC_2_3,TAAC_2_4,TAAC_2_5,TAAC_2_6,TAAC_2_7,TAAC_3_0,TAAC_3_1,TAAC_3_2,TAAC_3_3,TAAC_3_4,TAAC_3_5,TAAC_3_6,TAAC_3_7,TAAC_4_0,TAAC_4_1,TAAC_4_2,TAAC_4_3,TAAC_4_4,TAAC_4_5,TAAC_4_6,TAAC_4_7,TAAC_5_0,TAAC_5_1,TAAC_5_2,TAAC_5_3,TAAC_5_4,TAAC_5_5,TAAC_5_6,TAAC_5_7,TAAC_6_0,TAAC_6_1,TAAC_6_2,TAAC_6_3,TAAC_6_4,TAAC_6_5,TAAC_6_6,TAAC_6_7,TAAC_7_0,TAAC_7_1,TAAC_7_2,TAAC_7_3,TAAC_7_4,TAAC_7_5,TAAC_7_6,TAAC_7_7,TAAC_8_0,TAAC_8_1,TAAC_8_2,TAAC_8_3,TAAC_8_4,TAAC_8_5,TAAC_8_6,TAAC_8_7,TAAC_9_0,TAAC_9_1,TAAC_9_2,TAAC_9_3,TAAC_9_4,TAAC_9_5,TAAC_9_6,TAAC_9_7,TAB_0_0,TAB_0_1,TAB_0_2,TAB_0_3,TAB_0_4,TAB_0_5,TAB_0_6,TAB_0_7,TAB_1_0,TAB_1_1,TAB_1_2,TAB_1_3,TAB_1_4,TAB_1_5,TAB_1_6,TAB_1_7,TAB_2_0,TAB_2_1,TAB_2_2,TAB_2_3,TAB_2_4,TAB_2_5,TAB_2_6,TAB_2_7,TAB_3_0,TAB_3_1,TAB_3_2,TAB_3_3,TAB_3_4,TAB_3_5,TAB_3_6,TAB_3_7,TAB_4_0,TAB_4_1,TAB_4_2,TAB_4_3,TAB_4_4,TAB_4_5,TAB_4_6,TAB_4_7,TAB_5_0,TAB_5_1,TAB_5_2,TAB_5_3,TAB_5_4,TAB_5_5,TAB_5_6,TAB_5_7,TAB_6_0,TAB_6_1,TAB_6_2,TAB_6_3,TAB_6_4,TAB_6_5,TAB_6_6,TAB_6_7,TAB_7_0,TAB_7_1,TAB_7_2,TAB_7_3,TAB_7_4,TAB_7_5,TAB_7_6,TAB_7_7,TACCOS_0,TACCOS_1,TACCOS_2,TACCOS_3,TACSIN_0,TACSIN_1,TACSIN_2,TACSIN_3
1AKHA,1,65.14590163934426,0.0925979,0.0048701,0.1733553,0.3674169,0.0776682,0.3585815,0.317558,0.0647679,0.3261251,0.2658496,0.0527642,0.2878056,0.2360105,0.0440337,0.2741593,0.1987847,0.031981,0.2566473,0.1602724,0.0208955,0.2423831,0.115723,0.0166326,0.2178893,0.1031317,0.0151295,0.2035776,0.0906863,0.0110717,0.1887766,0.3674169,0.0328606,0.0594257,0.0454332,0.0776682,0.0014928,0.0494916,0.0128447,0.3585815,0.467918,0.1231803,0.4112787,0.4918033,0.0983607,0.4098361,30,6,25,0.7406403,-0.0670125,0.8902304,-0.0409954,0.0438477,-0.018695,0.0452616,-0.0321658,0.7566679,0.3404474,0.8753746,0.2823375,0.0863059,0.4249372,0.1052735,0.3873439,0.7577242,0.2690744,0.8756892,0.3105945,0.0869087,0.3115202,0.0960847,0.2910742,0.7608384,0.1998287,0.8757422,0.2015357,0.0685245,0.2232802,0.0889288,0.22711,0.7560283,0.1467698,0.8773295,0.1885355,0.0752016,0.2292477,0.0884691,0.167663,0.7504486,0.1107758,0.8790915,0.1195971,0.0703908,0.2127181,0.0822985,0.1448497,0.7512903,0.0870616,0.8782594,0.0892989,0.0587313,0.1747221,0.0743198,0.1409327,0.7449758,0.0478963,0.8795549,0.072489,0.0498031,0.1401503,0.0674075,0.1032301,0.7429384,0.0052549,0.8830254,0.0504565,0.0487921,0.1170699,0.0649047,0.0591184,0.7410943,-0.0283617,0.8880361,-0.0142924,0.05456,0.0551074,0.0565302,0.0216028,0.7566679,-0.0463863,-0.8210105,0.0318795,-0.1717233,-0.0428174,0.2247785,0.0794522,-0.0586785,0.3404474,0.0234844,-0.345132,-0.09424,-0.3963757,-0.1294345,-0.4106891,-0.8142401,0.0327236,0.8753746,0.0751473,0.1751207,0.047298,-0.2412997,-0.0652818,0.017141,-0.2184653,0.0573999,0.2823375,0.0660741,0.3425305,0.0816326,0.2683845,-0.1734263,-0.1201081,0.1802724,0.1399321,0.0863059,0.1187969,-0.0110787,0.1384225,0.038159,-0.3000187,0.0455171,0.4985457,0.0791989,0.4249372,0.1056791,0.3886279,0.2422612,-0.1138196,-0.2418122,0.1338461,-0.0224074,0.1173921,0.1052735,0.1453641,0.1516532,-0.2832626,-0.0648095,0.3127432,0.0878492,0.3784883,0.1288786,0.3873439,0.1790655,0.0016123,-0.2723148,-0.1131663,-0.8765163,0.0693122,0.9330268,0.0210211
1AOIA,1,60.57068965517245,0.2087788,0.0020441,0.2118762,0.3702332,0.0109257,0.3646041,0.343399,0.0063119,0.3449863,0.314305,0.0027028,0.3221899,0.285912,0.0015395,0.2973286,0.2655252,0.0019741,0.2731022,0.2502971,0.0021704,0.2527689,0.2350553,0.0024454,0.2348935,0.2239011,0.0029042,0.2226356,0.2145245,0.0017339,0.2143474,0.3702332,0.0326107,0.0851026,0.0297824,0.0109257,0.0110205,0.0875777,0.0079822,0.3646041,0.4921983,0.051431,0.4563621,0.5086207,0.0344828,0.4568966,59,4,53,0.8012279,-0.0166099,0.914871,0.2529864,0.0278112,0.2203995,0.0544171,0.0451845,0.7940226,0.2664331,0.9088133,0.3957884,0.0715389,0.4455157,0.0829584,0.2736597,0.7930205,0.2351243,0.9105549,0.3592554,0.0667758,0.4099727,0.0782911,0.2230303,0.7906771,0.182412,0.9108036,0.3532185,0.0615944,0.3523097,0.0744699,0.173397,0.8089071,0.1255187,0.9127307,0.3316582,0.0477322,0.3355258,0.0683995,0.1080113,0.811258,0.083129,0.9132112,0.3227753,0.0476096,0.301477,0.0646731,0.1142224,0.809376,0.0295032,0.9135223,0.2832459,0.0434371,0.2639006,0.0612924,0.0735399,0.8053422,0.0107119,0.9139312,0.2644351,0.0350596,0.2427932,0.0573841,0.0554974,0.8018669,-0.0206127,0.9143621,0.2636276,0.0297903,0.2522928,0.0565753,0.0360903,0.8024459,-0.0278944,0.9143509,0.229114,0.0268349,0.2308971,0.054692,0.0247902,0.7940226,0.06064,-0.8503901,-0.2386651,-0.1712025,-0.2183445,0.2044666,-0.0438728,0.0333075,0.2664331,-0.0562745,-0.3217141,-0.1081843,-0.3371434,-0.0848661,-0.3303309,-0.8496346,-0.0558186,0.9088133,0.3067023,0.1822207,0.261002,-0.2123607,0.0957997,-0.2535387,-0.2328383,0.3018453,0.3957884,0.1379915,0.3954771,0.0222979,0.2725068,-0.1583936,-0.1174557,0.1844222,0.1676758,0.0715389,0.1924695,-0.004668,0.1405101,-0.204777,-0.2593959,0.2595924,0.5247968,0.134535,0.4455157,0.0406353,0.3267205,0.2073244,-0.074039,-0.2121056,0.048033,-0.0151543,0.0569014,0.0829584,0.0741925,-0.0518362,-0.2564664,0.0929148,0.3427018,0.1030686,0.3354422,0.067668,0.2736597,0.181408,0.2343069,-0.2330767,0.0649931,-0.8941485,-0.0252992,0.9517653,0.2811489
1B6WA,1,52.54202898550724,0.0798095,0.0002328,0.4524829,0.2301549,0.0007078,0.5695776,0.18861,0.0009068,0.5444294,0.1427818,0.0004965,0.514753,0.1077088,0.0003135,0.4888617,0.0810939,0.0004528,0.4634152,0.0531025,0.0003119,0.440119,0.0369692,0.0004816,0.4266095,0.0435889,0.0003165,0.4308312,0.0603662,0.0003161,0.4429988,0.2301549,0.0148383,0.0819693,0.0105571,0.0007078,0.0078695,0.0845934,0.0050797,0.5695776,0.3334928,0.0204928,0.6485942,0.3188406,0.0,0.6811594,22,0,47,0.7412859,0.0817669,0.9463182,0.1744931,0.0754075,0.1767547,0.0157154,0.0842778,0.7561472,0.3334861,0.9450206,0.3994613,0.108021,0.4552351,0.0464882,0.3564886,0.7517809,0.2642117,0.9468366,0.3953853,0.1087268,0.3913404,0.0384489,0.2791228,0.7513571,0.2135784,0.9479416,0.3251796,0.0983175,0.3416598,0.030574,0.1937311,0.7493593,0.1367195,0.9476274,0.2983274,0.0944234,0.269545,0.0261097,0.1161882,0.7484605,0.0742076,0.9476503,0.2323045,0.081105,0.2173207,0.018379,0.0689407,0.7514255,0.03128,0.9487409,0.2316384,0.0792915,0.1968962,0.0142339,0.0109038,0.7479818,0.0103699,0.9485155,0.1477745,0.0726342,0.1828318,0.0125618,0.0127429,0.743997,0.0412627,0.9478407,0.1542928,0.0724722,0.1962207,0.0129425,0.0254484,0.7414695,0.0698471,0.9471237,0.1722493,0.0735277,0.2031437,0.0144263,0.0488241,0.7561472,0.2415787,-0.8515421,-0.3530123,-0.2658395,-0.4077325,0.1230681,-0.2488333,0.2578751,0.3334861,-0.2797962,-0.3986744,-0.164451,-0.3725932,-0.0399793,-0.3825674,-0.8473028,-0.2775145,0.9450206,0.4437485,0.280635,0.4643704,-0.1410112,0.2529876,-0.3508903,-0.2988223,0.4428976,0.3994613,0.2036058,0.41305,-0.0044153,0.3615366,-0.2453193,-0.1740688,0.2778234,0.2296825,0.108021,0.225693,-0.0114983,0.1689256,-0.386787,-0.3436196,0.4614688,0.5187715,0.2023534,0.4552351,0.0002559,0.3645673,0.1336033,-0.0340899,-0.1418935,0.0274333,-0.0194932,0.0088471,0.0464882,0.0474561,-0.1871214,-0.2997457,0.2448969,0.3819783,0.1467017,0.3733624,0.0418611,0.3564886,0.2760206,0.4385668,-0.1562002,0.2216303,-0.8747109,-0.2528641,0.9701018,0.4178032
1C1KA,1,56.505069124423976,0.1174575,0.0143287,0.2735339,0.1801706,0.04052,0.3434944,0.1645583,0.0348015,0.3300576,0.1492811,0.0283608,0.3157996,0.1373683,0.0227074,0.3022625,0.1279031,0.0198418,0.2908286,0.1217052,0.0182125,0.2829623,0.1167556,0.0157277,0.2789319,0.1159297,0.0148112,0.27647,0.1168469,0.0137478,0.2768228,0.1801706,0.0494423,0.1367937,0.0516989,0.04052,0.0289754,0.1356407,0.0297767,0.3434944,0.3691982,0.1208525,0.5082212,0.3456221,0.0691244,0.5852535,75,15,127,0.8316024,0.0550059,0.9434193,0.3488727,0.0446515,0.3421147,0.0356343,0.0595778,0.8306655,0.2688093,0.938458,0.451769,0.0747609,0.4983749,0.0560269,0.2452354,0.8192414,0.2031785,0.9388129,0.4060158,0.0709386,0.4497416,0.0529391,0.2215581,0.8188197,0.1730213,0.9393311,0.4118049,0.0665349,0.4124026,0.0502343,0.1823957,0.8204318,0.1506926,0.9402232,0.3844331,0.056636,0.3858656,0.0465212,0.1391793,0.8188418,0.1294885,0.9405852,0.3653093,0.0517272,0.3859341,0.0446624,0.1185461,0.8177155,0.0963887,0.9411627,0.3585291,0.0509456,0.3520169,0.0425,0.0815641,0.8193889,0.0848205,0.9418486,0.3572673,0.0511029,0.3782915,0.0414579,0.0750312,0.8173083,0.0689219,0.9423204,0.3607609,0.0477054,0.3656154,0.0393262,0.0713997,0.8261233,0.0637645,0.9427353,0.3506535,0.0455733,0.3623103,0.0374095,0.0558341,0.8306655,0.163584,-0.8783748,-0.488894,-0.172086,-0.4721301,0.1783546,-0.1521059,0.1763284,0.2688093,-0.1879774,-0.3207155,-0.1226638,-0.3075308,-0.0240136,-0.3538452,-0.8777707,-0.1893695,0.938458,0.53393,0.1968571,0.5058473,-0.1882528,0.1711149,-0.4911856,-0.2370538,0.5228918,0.451769,0.1637635,0.4340446,-0.0652898,0.2848429,-0.1785065,-0.1330422,0.1986196,0.1946455,0.0747609,0.1969219,-0.0131142,0.1443532,-0.4508164,-0.2959824,0.5036881,0.5365681,0.1761732,0.4983749,-0.0469964,0.3373421,0.1795565,-0.0261026,-0.1879047,-0.0445113,-0.0167621,-0.0375137,0.0560269,0.0384804,-0.1293116,-0.2142864,0.1668142,0.2641325,0.1174932,0.2903106,0.0217286,0.2452354,0.1958115,0.4993922,-0.1997396,0.1520468,-0.9071683,-0.1733439,0.9678712,0.5278438
1C6VX,1,62.0679012345679,0.2620468,0.2170932,0.0058048,0.3238888,0.2623452,0.0473449,0.2944628,0.2305272,0.0393586,0.2763805,0.2129484,0.0308047,0.2574609,0.1977599,0.0224797,0.2508838,0.1926789,0.0182633,0.2452741,0.1935332,0.0178631,0.2564781,0.209444,0.0151341,0.2772595,0.2307994,0.0131346,0.2692623,0.2251966,0.0116863,0.3238888,0.1200923,0.0489492,0.1199732,0.2623452,0.0087724,0.0569906,0.0101261,0.0473449,0.4952963,0.3884815,0.1154321,0.5555556,0.382716,0.0617284,45,31,5,0.5873235,0.1942616,0.810309,0.0130818,0.0211351,0.0003651,0.1635722,0.0490971,0.537284,0.2707313,0.8254286,0.0899417,0.038674,0.2816725,0.1621195,0.2177699,0.6446727,0.2424521,0.8239959,0.1781187,0.0533942,0.1808516,0.1610531,0.1014759,0.573263,0.2575005,0.8219487,0.1346695,0.0355101,0.1788963,0.1599645,0.0705628,0.5507701,0.2022727,0.8196396,0.1276193,0.0280229,0.1540829,0.160081,0.0634368,0.5776505,0.2287205,0.818102,0.1049761,0.0197718,0.1386786,0.1595228,0.0423991,0.5474934,0.238123,0.8176648,0.0461266,0.0287449,0.058476,0.1591672,0.0124714,0.5833624,0.2106715,0.8153009,0.0982888,0.0100208,0.0206514,0.1590849,0.0129639,0.5822317,0.2214595,0.8142565,0.0041302,0.0384056,0.0150235,0.1629544,0.1301543,0.5996197,0.2814461,0.8122183,0.0630947,0.018642,0.0310209,0.1647469,0.1197481,0.537284,-0.3742247,-0.689621,0.106618,0.0796285,0.0967843,0.2955643,0.2906424,-0.3162508,0.2707313,0.396271,-0.1432992,-0.0762964,-0.1532315,-0.1985251,-0.2926537,-0.6900512,0.4119215,0.8254286,-0.065491,-0.0687217,-0.1145865,-0.3483368,-0.250368,0.0375357,-0.0707975,-0.059475,0.0899417,0.0844101,0.1618408,0.0716327,0.0825118,0.0730535,-0.0850676,-0.0606402,0.1260883,0.038674,0.1449942,0.0566142,0.1023472,0.0702875,-0.1349538,-0.1061455,0.3169314,0.0767809,0.2816725,0.1008048,0.1700853,0.2930709,-0.2014098,-0.3432249,0.1015743,0.048684,0.1240753,0.1621195,0.1497941,0.1605691,-0.1634832,-0.2352309,0.1665371,0.0584356,0.1439936,0.1329813,0.2177699,-0.0758159,-0.1441579,-0.3844139,-0.2781603,-0.7639252,0.4487544,0.9080359,-0.0879034
1C6VD,1,38.96402439024389,0.1361028,0.0854417,0.1367709,0.2831004,0.1498893,0.3082579,0.2345096,0.1196766,0.2891436,0.1986929,0.0990015,0.2699424,0.1667319,0.087356,0.2487695,0.1513265,0.0844416,0.2256223,0.1427676,0.0830936,0.2035591,0.1291613,0.076658,0.1834345,0.119976,0.0668108,0.1669073,0.1257914,0.0731371,0.1508328,0.2831004,0.0592445,0.0608119,0.0632309,0.1498893,0.0081191,0.0563499,0.0118113,0.3082579,0.4058049,0.2201951,0.3744329,0.4390244,0.2012195,0.3597561,72,33,59,0.6680467,0.0133527,0.8777737,0.0388375,0.0213991,0.0912072,0.0705671,0.0376241,0.687065,0.3113584,0.8786122,0.1720317,0.0868611,0.3159646,0.0994419,0.30789,0.6202264,0.2568554,0.8789682,0.1908973,0.0722479,0.2267723,0.09639,0.2296751,0.6292118,0.2143476,0.8786336,0.197891,0.0690975,0.1333779,0.0891573,0.1939833,0.6308642,0.172696,0.8784768,0.1439589,0.0580332,0.1206157,0.0859358,0.1343413,0.6310575,0.1528077,0.8776704,0.1018733,0.0372846,0.1027461,0.0824888,0.1367343,0.6225017,0.1352801,0.8772517,0.1119508,0.04452,0.0817708,0.080489,0.0823203,0.6281348,0.1117396,0.8770504,0.080085,0.027822,0.0602693,0.0739474,0.0512423,0.6150011,0.0677739,0.8774082,0.0627435,0.0101763,0.0294516,0.0705268,0.0352972,0.635497,0.0353698,0.8776384,0.0535429,0.0179652,0.0420797,0.0705505,0.0297169,0.687065,0.0156172,-0.7549923,-0.1694621,-0.0750411,-0.1777313,0.1998613,0.0237468,0.0027601,0.3113584,0.0266085,-0.2657521,-0.1271039,-0.2625544,-0.1014091,-0.3768825,-0.7482288,0.0250812,0.8786122,0.2502719,0.0820213,0.2076586,-0.2409679,-0.0230787,-0.2357496,-0.1684099,0.2278775,0.1720317,0.1181368,0.2209904,0.0035909,0.1656464,-0.0579831,-0.1534208,0.0827785,0.1850744,0.0868611,0.1937002,0.0344327,0.1887615,-0.1257353,-0.225042,0.1899674,0.400737,0.1226893,0.3159646,0.0242197,0.3528526,0.2155888,-0.1025022,-0.2427096,0.0485288,0.0221287,0.0454398,0.0994419,0.134357,0.0658235,-0.2529885,-0.0364465,0.2258349,0.1309791,0.2702394,0.1062204,0.30789,0.0715806,0.1831677,-0.2679451,-0.0694494,-0.8024603,0.0583062,0.9358455,0.22502
1CI4B,1,48.41910112359551,0.211665,0.0047313,0.2037307,0.2954066,0.012225,0.3033863,0.2542415,0.009628,0.2745312,0.2083548,0.007106,0.2414952,0.1760737,0.0048115,0.2152372,0.1755056,0.0044605,0.2065289,0.1871046,0.0051205,0.206546,0.1986199,0.0052304,0.2089061,0.2088774,0.0050476,0.2092874,0.211717,0.0051645,0.205449,0.2954066,0.0301749,0.1431179,0.0317745,0.012225,0.0213318,0.1409776,0.0227751,0.3033863,0.4733371,0.0647865,0.4625169,0.4831461,0.0337079,0.4831461,43,3,43,0.6721692,0.0341795,0.9327778,0.2125179,0.0328025,0.2583099,0.0440119,-0.0051912,0.6910562,0.2083617,0.9353399,0.3584086,0.0588782,0.4485505,0.0538425,0.2028763,0.6951375,0.1476372,0.9358465,0.3484439,0.0495536,0.4200865,0.0505513,0.1354535,0.6962343,0.098405,0.9359359,0.338009,0.0508096,0.3933843,0.048253,0.0898995,0.6890656,0.0528209,0.9365518,0.2494798,0.0430772,0.3493289,0.0459272,0.0329597,0.6842597,0.0253641,0.9361425,0.2857684,0.0406126,0.374235,0.0440388,0.0072374,0.6853013,0.0363345,0.9355337,0.2173483,0.0369807,0.3203373,0.0432244,0.0045098,0.6840264,0.0219246,0.9347976,0.2062843,0.0382382,0.265163,0.0434894,0.0039575,0.6809154,0.0112091,0.9342318,0.2097364,0.0412907,0.2870434,0.0453298,0.0148237,0.7261132,0.0321911,0.93352,0.2332701,0.0321302,0.2479923,0.0448668,-0.0151516,0.6910562,0.2325976,-0.8183193,-0.3936519,-0.180119,-0.4819733,0.1647307,-0.1884977,0.2194008,0.2083617,-0.2069474,-0.2877018,-0.0791899,-0.3047986,-0.0025726,-0.2627405,-0.8147004,-0.2086739,0.9353399,0.4833722,0.1946935,0.5240664,-0.1969073,0.1941012,-0.4127408,-0.2069391,0.4628896,0.3584086,0.1375731,0.3948522,-0.0651625,0.234348,-0.1767919,-0.1042295,0.1947752,0.1675546,0.0588782,0.1850757,-0.0195519,0.1201878,-0.4211949,-0.2343874,0.5018059,0.5241618,0.133799,0.4485505,-0.0768233,0.2906526,0.1723259,0.0015749,-0.1992912,-0.0379364,-0.0310238,-0.0639974,0.0538425,0.0090206,-0.184761,-0.1323994,0.1902966,0.2615798,0.0561481,0.2822267,-0.0035614,0.2028763,0.1956931,0.5146295,-0.208894,0.1751143,-0.8445779,-0.1939978,0.9664808,0.4702379
1D4UA,1,63.336036036036035,0.3099916,0.0407424,0.0806752,0.3609046,0.0819755,0.1375251,0.3307655,0.0715126,0.1220904,0.3091387,0.0621234,0.1088432,0.2976142,0.0527268,0.0950123,0.2873752,0.0454005,0.086945,0.2900297,0.0449305,0.0853226,0.296516,0.0429598,0.0841512,0.3040453,0.0433242,0.081864,0.3068957,0.0420036,0.0858704,0.3609046,0.0673342,0.1070408,0.0665021,0.0819755,0.0342989,0.1074773,0.0330208,0.1375251,0.5393514,0.1814234,0.2772432,0.5945946,0.1351351,0.2702703,66,15,30,0.8092585,0.0512543,0.8929701,0.1513001,0.0061821,0.0792837,0.0796752,0.0429907,0.8193738,0.1612346,0.8935382,0.1964013,0.0312248,0.2900482,0.090331,0.1771938,0.8182241,0.1169692,0.8937575,0.1816819,0.0334798,0.1980365,0.0876568,0.1035984,0.8177191,0.0803297,0.8941386,0.1263363,0.0217562,0.1282925,0.0823766,0.0610618,0.8148368,0.0259971,0.8932251,0.0441307,0.0139231,0.07478,0.0777388,0.0700496,0.8160178,0.0186258,0.8941523,0.0478386,0.008532,0.0656884,0.0765334,0.030295,0.8179922,0.0023379,0.8945075,0.0811919,0.0026041,0.1521516,0.0768882,0.0007367,0.8186584,0.0362098,0.894775,0.1267113,0.0090732,0.1660318,0.0799483,0.0044857,0.8141024,0.0413097,0.8945809,0.1360809,0.0071917,0.1818041,0.0791755,0.0766513,0.8134187,0.0272584,0.893739,0.1506088,0.0003594,0.1449362,0.0808557,0.0473867,0.8193738,-0.1036583,-0.8615409,-0.2103125,-0.0754905,-0.3043471,0.2408163,0.1662431,-0.1119381,0.1612346,0.1157771,-0.2218398,-0.0231528,-0.1694393,-0.0783973,-0.3146341,-0.8554525,0.1188044,0.8935382,0.271541,0.0647114,0.2780989,-0.2591326,-0.1500469,-0.2165329,-0.0487654,0.2492579,0.1964013,0.0550603,0.2043757,-0.0364227,0.0633906,-0.0697044,-0.0615238,0.0663917,0.1238879,0.0312248,0.1175104,0.0038839,0.0764889,-0.214764,-0.0790963,0.2644804,0.4479603,0.0510152,0.2900482,-0.0308469,0.2503464,0.2552904,-0.0766247,-0.2602896,0.0111938,-0.0050065,-0.0191513,0.090331,0.1158445,0.2076992,-0.1205569,-0.1569363,0.0951065,0.0259572,0.0968824,0.0863463,0.1771938,0.0634004,0.2650259,-0.2799396,-0.1862447,-0.9076415,0.1435529,0.9444135,0.2506772
1D8BA,1,71.00493827160491,0.137861,0.0017032,0.2579081,0.2512822,0.0069667,0.4061506,0.2310283,0.0060143,0.3884434,0.2090914,0.0047927,0.371166,0.1894144,0.0038288,0.3537979,0.1752769,0.0033978,0.3371429,0.1621907,0.0029395,0.3181927,0.1489075,0.0029025,0.3026289,0.1440635,0.0025885,0.2895714,0.138249,0.0021048,0.2740405,0.2512822,0.0272942,0.1212801,0.0303024,0.0069667,0.0124131,0.1292393,0.0154722,0.4061506,0.4064938,0.0488765,0.5448272,0.3950617,0.0,0.6049383,32,0,49,0.7375218,-0.0064893,0.9435418,0.1611915,0.0584789,0.2407609,0.0276057,-0.0067269,0.7456907,0.2513444,0.948327,0.4646917,0.0930324,0.4434423,0.0455118,0.225478,0.7477551,0.210145,0.9480104,0.3515502,0.0869933,0.3880897,0.0415556,0.1588015,0.7451057,0.1606465,0.9479878,0.3233459,0.0875362,0.3296902,0.0392531,0.1467963,0.7444209,0.114928,0.9474537,0.2826266,0.0834851,0.2654221,0.0355065,0.1013851,0.7450156,0.1127006,0.9470587,0.2887491,0.079132,0.2348763,0.0333478,0.1073078,0.7442262,0.0939322,0.9464942,0.264743,0.0729207,0.2732576,0.0322845,0.0757664,0.7405906,0.0898256,0.9458419,0.2537903,0.0749097,0.2008089,0.031556,0.0938314,0.7889371,0.0702201,0.9453466,0.2571071,0.0735283,0.269532,0.0315324,0.1026938,0.7357864,0.0352138,0.944556,0.2239296,0.0660164,0.263345,0.0301161,0.0493098,0.7456907,0.2247512,-0.8478304,-0.4721491,-0.2456686,-0.4575674,0.145509,-0.1407783,0.2447232,0.2513444,-0.2402308,-0.3331493,-0.1225548,-0.3244557,-0.0213071,-0.3453075,-0.847543,-0.2291326,0.948327,0.4945132,0.2633766,0.5162733,-0.1651576,0.2383568,-0.4428963,-0.2047163,0.4793771,0.4646917,0.154657,0.3745412,-0.0550299,0.214235,-0.2523624,-0.1242583,0.2688614,0.198497,0.0930324,0.2153901,-0.024098,0.1445001,-0.4259501,-0.2656786,0.5092697,0.575088,0.17104,0.4434423,-0.0506426,0.2823168,0.147481,-0.0196173,-0.1624214,-0.01109,-0.0304895,-0.0342981,0.0455118,0.0180193,-0.2790507,-0.1819277,0.2500999,0.370132,0.1051383,0.326966,0.0102973,0.225478,0.2691884,0.5190003,-0.1717891,0.2367312,-0.8715168,-0.2271072,0.9734917,0.4909419
1DMLG,1,43.03354231974922,0.2271415,0.1272903,0.0407334,0.3172026,0.2115653,0.1224493,0.2801711,0.1817925,0.1096211,0.2419695,0.1492137,0.097159,0.2080978,0.1189839,0.0852678,0.1875708,0.0995848,0.0757955,0.1873956,0.0952928,0.0679104,0.1986845,0.1015524,0.0612067,0.2117189,0.113251,0.0525866,0.2215618,0.122185,0.0461026,0.3172026,0.0957211,0.0596448,0.0951758,0.2115653,0.0164211,0.0606902,0.0159245,0.1224493,0.4758934,0.3230376,0.198442,0.507837,0.3197492,0.1724138,162,102,55,0.7246732,0.0991012,0.8347397,-0.0097577,0.0072265,0.0158738,0.1273647,0.147008,0.7371897,0.2730563,0.8347063,0.1369953,0.0703199,0.2965877,0.1496496,0.3330079,0.7152853,0.2376014,0.8345225,0.1233182,0.0603456,0.247228,0.1467412,0.2602165,0.7163971,0.2176245,0.8340621,0.0744665,0.0508926,0.1505182,0.1430579,0.1974604,0.717754,0.1855182,0.833767,0.0732186,0.0374309,0.1180532,0.1377592,0.1734597,0.7236606,0.1570019,0.8338915,0.0642515,0.0341154,0.0775505,0.1358925,0.1267176,0.7227769,0.1500502,0.8335084,0.0611861,0.0202164,0.0494971,0.1329576,0.1318717,0.7274655,0.1351811,0.8338113,0.0310899,0.0195926,0.0808843,0.1311132,0.1335118,0.7256591,0.126893,0.834062,0.0324965,0.0180494,0.0699272,0.1309644,0.1306347,0.7267164,0.1244977,0.8345181,0.0042453,0.0174958,0.0669132,0.1288361,0.1694677,0.7371897,-0.2554701,-0.7791027,-0.0228971,0.0479123,0.0481975,0.2976803,0.3130026,-0.260164,0.2730563,0.2625637,-0.1958175,-0.117302,-0.2477512,-0.1757541,-0.3688113,-0.7761037,0.264925,0.8347063,0.0629323,-0.0466377,-0.0508794,-0.3185731,-0.2819775,-0.0407636,-0.0856865,0.0488987,0.1369953,0.071522,0.1282713,0.0332442,0.1528022,0.0511492,-0.1217227,-0.0421633,0.1106806,0.0703199,0.1574099,0.0650558,0.1440722,0.1033926,-0.2232933,-0.0550484,0.3844481,0.0980267,0.2965877,0.1025754,0.3161722,0.3064257,-0.1681841,-0.3183534,0.075154,0.0537082,0.1131347,0.1496496,0.1959763,0.3054307,-0.2609859,-0.281699,0.1522,0.1301773,0.2542485,0.1851831,0.3330079,-0.0628749,-0.0890588,-0.3575771,-0.3364658,-0.8521891,0.3123558,0.9121295,0.033193
