,feature_names
0,RPBG_80_3_14
1,RPBG_50_18_13
2,PBG_70_2_5
3,PBG_90_19_13
4,PBG_100_2_13
5,PBG_60_19_19
6,PBG_20_1_11
7,PBG_80_4_6
8,PBG_100_15_11
9,PBG_80_11_11
10,PBG_40_1_11
11,RPBG_30_12_18
12,PBG_20_3_14
13,PBG_100_7_16
14,RPBG_90_7_14
15,RPBG_70_16_1
16,RPBG_50_0_5
17,PBG_70_7_16
18,PBG_10_19_4
19,RPBG_20_0_5
20,PBG_80_19_13
21,RPBG_60_16_13
22,PBG_80_3_14
23,PBG_60_0_9
24,RPBG_50_19_11
25,RPBG_60_7_9
26,RPBG_90_2_8
27,PBG_60_2_13
28,RPBG_30_2_14
29,RPBG_90_5_1
30,PBG_90_19_1
31,RPBG_100_4_6
32,PBG_80_7_1
33,RPBG_40_11_11
34,RPBG_100_19_2
35,PBG_70_16_9
36,RPBG_30_19_11
37,RPBG_60_2_14
38,PBG_20_4_6
39,RPBG_90_1_6
40,PBG_80_7_14
41,RPBG_10_1_17
42,PBG_40_5_18
43,RPBG_80_2_3
44,PBG_30_7_9
45,PBG_100_3_9
46,RPBG_100_3_9
47,PBG_40_16_3
48,PBG_70_11_0
49,RPBG_40_4_6
50,RPBG_80_4_6
51,PBG_30_16_9
52,PBG_100_2_10
53,RPBG_50_1_11
54,RPBG_50_5_2
55,RPBG_100_1_11
56,RPBG_90_2_14
57,RPBG_80_14_17
58,PBG_30_3_14
59,PBG_70_10_15
60,PBG_50_3_14
61,RPBG_30_17_8
62,RPBG_90_7_9
63,PBG_70_7_9
64,PBG_90_0_16
65,PBG_90_5_5
66,PBG_60_2_5
67,PBG_40_3_14
68,RPBG_80_0_9
69,RPBG_60_19_13
70,RPBG_20_13_4
71,RPBG_40_19_19
72,RPBG_70_19_11
73,RPBG_30_1_19
74,RPBG_70_5_2
75,RPBG_50_1_7
76,PBG_30_15_4
77,RPBG_90_13_19
78,RPBG_100_0_9
79,RPBG_100_8_11
80,PBG_100_1_0
81,RPBG_20_19_9
82,RPBG_80_7_5
83,PBG_60_0_16
84,PBG_70_19_19
85,RPBG_100_2_5
86,PBG_90_7_14
87,PBG_40_0_9
88,RPBG_60_4_6
89,RPBG_100_2_16
90,RPBG_10_0_5
91,PBG_60_3_9
92,RPBG_100_2_13
93,RPBG_70_11_0
94,RPBG_90_3_14
95,PBG_100_14_17
96,RPBG_80_1_18
97,RPBG_80_16_1
98,RPBG_60_16_1
99,PBG_90_12_12
100,PBG_100_2_5
101,PBG_100_2_17
102,RPBG_10_19_19
103,RPBG_80_3_8
104,PBG_80_10_15
105,PBG_30_0_9
106,PBG_70_3_9
107,PBG_50_11_0
108,PBG_90_17_12
109,RPBG_90_7_16
110,PBG_80_7_9
111,PBG_20_16_3
112,RPBG_40_2_10
113,RPBG_70_3_9
114,RPBG_70_7_14
115,PBG_80_16_8
116,RPBG_80_7_15
117,PBG_10_19_19
118,RPBG_10_13_4
119,PBG_100_0_5
120,PBG_80_3_9
121,PBG_90_7_9
122,PBG_90_3_9
123,PBG_50_2_10
124,RPBG_100_14_17
125,PBG_90_13_19
126,PBG_70_7_5
127,RPBG_80_7_9
128,RPBG_100_1_0
129,RPBG_70_7_9
130,RPBG_90_3_9
131,PBG_70_16_3
132,PBG_80_7_5
133,RPBG_80_5_2
134,RPBG_100_7_9
135,PBG_30_16_8
136,PBG_100_16_1
137,PBG_40_7_9
138,RPBG_60_1_5
139,RPBG_80_2_5
140,PBG_40_7_5
141,PBG_60_3_14
142,RPBG_50_7_9
143,PBG_100_5_1
144,PBG_50_16_1
145,RPBG_70_7_5
146,PBG_10_12_12
147,RPBG_100_11_11
148,PBG_90_1_0
149,RPBG_60_1_7
150,PBG_90_14_9
151,RPBG_90_16_1
152,RPBG_50_19_19
153,PBG_90_2_16
154,PBG_30_3_18
155,PBG_80_1_7
156,PBG_70_1_0
157,PBG_50_0_16
158,RPBG_40_19_13
159,PBG_90_3_14
160,PBG_100_18_13
161,RPBG_30_0_5
162,RPBG_100_19_1
163,RPBG_60_5_2
164,PBG_70_0_16
165,RPBG_100_7_5
166,PBG_90_2_5
167,RPBG_80_7_14
168,PBG_100_19_13
169,PBG_20_19_4
170,PBG_40_1_0
171,PBG_30_16_2
172,RPBG_60_16_14
173,PBG_60_1_11
174,RPBG_70_7_16
175,PBG_70_5_10
176,RPBG_60_11_0
177,PBG_80_7_16
178,PBG_90_4_6
179,PBG_80_2_13
180,PBG_90_5_10
181,PBG_90_0_9
182,PBG_100_16_8
183,PBG_80_0_9
184,PBG_70_19_1
185,PBG_30_16_13
186,RPBG_50_2_1
187,RPBG_20_19_19
188,PBG_80_5_1
189,RPBG_20_4_6
190,PBG_70_19_4
191,RPBG_60_19_19
192,PBG_80_16_9
193,RPBG_40_7_9
194,PBG_100_12_12
195,RPBG_90_5_2
196,PBG_90_5_2
197,RPBG_90_4_6
198,PBG_50_17_12
199,RPBG_90_2_3
200,RPBG_40_16_5
201,PBG_100_9_17
202,RPBG_100_0_5
203,RPBG_100_13_19
