SeqID,Class,QSOGran1,QSOGran10,QSOGran11,QSOGran12,QSOGran13,QSOGran14,QSOGran15,QSOGran16,QSOGran17,QSOGran18,QSOGran19,QSOGran2,QSOGran20,QSOGran21,QSOGran22,QSOGran23,QSOGran24,QSOGran25,QSOGran26,QSOGran27,QSOGran28,QSOGran29,QSOGran3,QSOGran30,QSOGran31,QSOGran32,QSOGran33,QSOGran34,QSOGran35,QSOGran36,QSOGran37,QSOGran38,QSOGran39,QSOGran4,QSOGran40,QSOGran41,QSOGran42,QSOGran43,QSOGran5,QSOGran6,QSOGran7,QSOGran8,QSOGran9,QSOSW1,QSOSW10,QSOSW11,QSOSW12,QSOSW13,QSOSW14,QSOSW15,QSOSW16,QSOSW17,QSOSW18,QSOSW19,QSOSW2,QSOSW20,QSOSW21,QSOSW22,QSOSW23,QSOSW24,QSOSW25,QSOSW26,QSOSW27,QSOSW28,QSOSW29,QSOSW3,QSOSW30,QSOSW31,QSOSW32,QSOSW33,QSOSW34,QSOSW35,QSOSW36,QSOSW37,QSOSW38,QSOSW39,QSOSW4,QSOSW40,QSOSW41,QSOSW42,QSOSW43,QSOSW5,QSOSW6,QSOSW7,QSOSW8,QSOSW9
2MA1A,1,4.0408e-05,6.73466e-05,8.0816e-05,9.42853e-05,4.0408e-05,4.0408e-05,5.38773e-05,0.0,2.69387e-05,1.34693e-05,4.0408e-05,4.0408e-05,5.38773e-05,0.0477386992,0.040728197,0.0534647879,0.0599346496,0.0504410322,0.0359332205,0.0500788068,0.0501072001,0.03081727,1.34693e-05,0.0556786289,0.0461190712,0.0367501604,0.0372345557,0.0429602943,0.0390724027,0.0358705137,0.0414067668,0.0431951039,0.0300308765,5.38773e-05,0.0466819657,0.0535333339,0.0364754567,0.0347502761,0.0,0.0001751013,6.73466e-05,5.38773e-05,4.0408e-05,2.86879e-05,4.78131e-05,5.73758e-05,6.69384e-05,2.86879e-05,2.86879e-05,3.82505e-05,0.0,1.91253e-05,9.5626e-06,2.86879e-05,2.86879e-05,3.82505e-05,0.0512173579,0.0542268177,0.0492496966,0.0505476132,0.0475908098,0.0446072879,0.0466947716,0.0537436584,0.0407972983,9.5626e-06,0.0482496879,0.0404498482,0.0375660976,0.0396924813,0.0410498623,0.0367032247,0.03502194,0.0394251901,0.0436865851,0.0351572105,3.82505e-05,0.0436994949,0.0441979608,0.0375860712,0.0381313997,0.0,0.0001243141,4.78131e-05,3.82505e-05,2.86879e-05
4LC2A,1,4.4788e-06,3.13519e-05,2.68731e-05,8.9577e-05,3.58308e-05,2.68731e-05,3.58308e-05,1.34365e-05,1.34365e-05,8.9577e-06,2.23942e-05,1.79154e-05,1.79154e-05,0.0490821502,0.035131991,0.0523272845,0.05581609,0.0460475483,0.0368629954,0.0565951402,0.0500748189,0.0450635138,1.34365e-05,0.0468923798,0.0500420536,0.0404168183,0.0335897146,0.0456539504,0.0364486917,0.0422979755,0.0421298582,0.0418256891,0.0358115727,3.58308e-05,0.0410852372,0.04311501,0.0416976228,0.0314768261,1.34365e-05,4.03096e-05,2.23942e-05,8.9577e-06,3.58308e-05,3.6621e-06,2.56345e-05,2.19724e-05,7.32413e-05,2.92965e-05,2.19724e-05,2.92965e-05,1.09862e-05,1.09862e-05,7.3241e-06,1.83103e-05,1.46483e-05,1.46483e-05,0.0490037134,0.0466901764,0.0469589709,0.04725691,0.0515865502,0.0448821387,0.04860689,0.0449440341,0.0469752824,1.09862e-05,0.0430847959,0.0400088527,0.0418463623,0.0451292848,0.0427199978,0.039489931,0.0393653519,0.0412919676,0.0415544134,0.0396512437,2.92965e-05,0.040314976,0.0369939222,0.0443916693,0.0368314279,1.09862e-05,3.29586e-05,1.83103e-05,7.3241e-06,2.92965e-05
4BLFA,1,1.68368e-05,1.80395e-05,1.44316e-05,2.285e-05,7.2158e-06,1.44316e-05,1.20263e-05,7.2158e-06,1.44316e-05,3.6079e-06,1.68368e-05,1.92421e-05,4.8105e-06,0.0402031837,0.0470963137,0.0441779338,0.0425309225,0.0392606499,0.056128962,0.041365468,0.0461976024,0.0466552508,1.08237e-05,0.0452461628,0.0415499031,0.048516952,0.0434524832,0.0389238091,0.0445075682,0.0430483167,0.0391132028,0.0422333391,0.0400717757,1.80395e-05,0.0403813606,0.0461769426,0.040133576,0.0427577295,4.8105e-06,2.285e-05,1.68368e-05,1.44316e-05,1.08237e-05,1.33581e-05,1.43122e-05,1.14498e-05,1.81288e-05,5.7249e-06,1.14498e-05,9.5415e-06,5.7249e-06,1.14498e-05,2.8624e-06,1.33581e-05,1.52664e-05,3.8166e-06,0.046009373,0.0470593764,0.0447105398,0.0381194593,0.0409917493,0.048922779,0.0448980201,0.0456080991,0.0463618737,8.5873e-06,0.0437078497,0.0426509622,0.0452086874,0.0437847122,0.0430728093,0.0421703388,0.0431097022,0.0405851465,0.0434899407,0.0411655261,1.43122e-05,0.0410535485,0.0425648984,0.0427492206,0.0417907047,3.8166e-06,1.81288e-05,1.33581e-05,1.14498e-05,8.5873e-06
4BJ1A,1,5.3675e-06,1.34188e-05,1.77128e-05,1.55658e-05,5.9043e-06,1.12718e-05,3.7573e-06,1.98598e-05,8.588e-06,0.0,8.0513e-06,3.7573e-06,1.01983e-05,0.0434506012,0.0453462849,0.0455585017,0.0471079054,0.0421919102,0.0438944404,0.042621425,0.0469404376,0.0420408192,1.18085e-05,0.0459152181,0.0470447808,0.0456736142,0.0409439992,0.0437505732,0.0436506038,0.0437259509,0.0406227235,0.0432550449,0.0395381147,6.9778e-06,0.0443649877,0.0427885388,0.0368881984,0.0425146391,2.147e-06,1.12718e-05,6.441e-06,4.8308e-06,3.7573e-06,4.8099e-06,1.20247e-05,1.58726e-05,1.39487e-05,5.2909e-06,1.01007e-05,3.3669e-06,1.77966e-05,7.6958e-06,0.0,7.2148e-06,3.3669e-06,9.1388e-06,0.0458583377,0.0462580864,0.0441603012,0.0451612725,0.043426373,0.0438322116,0.0426643101,0.0458798184,0.0428807797,1.05817e-05,0.0431518568,0.0444329961,0.0458966142,0.0428803976,0.04337201,0.0444348679,0.0435516255,0.0420852207,0.0425519168,0.0403765392,6.2528e-06,0.0409120093,0.0448405831,0.0393753564,0.0418635615,1.924e-06,1.01007e-05,5.7719e-06,4.3289e-06,3.3669e-06
4BHXA,1,1.92034e-05,1.92034e-05,7.68137e-05,6.4011e-06,6.4011e-06,2.56046e-05,5.12091e-05,1.28023e-05,3.20057e-05,1.92034e-05,6.4011e-06,3.20057e-05,3.20057e-05,0.0459852303,0.0389908161,0.0588579879,0.0578465161,0.0418527208,0.0446827776,0.0472644514,0.0490052219,0.0446289676,0.0,0.038400203,0.0464766757,0.0361709355,0.036652508,0.0420842629,0.0488387522,0.0388690476,0.036333582,0.0439021211,0.0399147144,1.92034e-05,0.0325526916,0.0417790566,0.0430517038,0.0452637497,1.92034e-05,0.0001088194,6.40114e-05,1.28023e-05,3.20057e-05,1.77102e-05,1.77102e-05,7.08408e-05,5.9034e-06,5.9034e-06,2.36136e-05,4.72272e-05,1.18068e-05,2.9517e-05,1.77102e-05,5.9034e-06,2.9517e-05,2.9517e-05,0.0466129859,0.0471851573,0.0523521559,0.0554130972,0.0430186605,0.0486374829,0.0479436652,0.0487823529,0.0469812148,0.0,0.0371772124,0.0451902336,0.0380975662,0.0412834131,0.0421335882,0.043012239,0.0387757713,0.0335276528,0.0477149801,0.0403276388,1.77102e-05,0.0313487853,0.0412908836,0.0432957979,0.0393484492,1.77102e-05,0.0001003578,5.9034e-05,1.18068e-05,2.9517e-05
4JQFA,1,1.02052e-05,1.87095e-05,3.91199e-05,2.04104e-05,8.5043e-06,1.19061e-05,6.8035e-06,1.87095e-05,1.02052e-05,1.7009e-06,8.5043e-06,8.5043e-06,1.70087e-05,0.0443796464,0.0369278832,0.0541938724,0.0495038198,0.0424048234,0.0479399915,0.0439666809,0.0455776034,0.0472468371,1.70087e-05,0.0415692918,0.0433242068,0.044288314,0.0434883264,0.0453202585,0.0419797578,0.0383415768,0.0437106652,0.0412651257,0.0460422849,2.5513e-05,0.0396257705,0.0381682059,0.0384662743,0.0419660293,5.1026e-06,1.87095e-05,2.72138e-05,1.19061e-05,1.70087e-05,9.7157e-06,1.78122e-05,3.72437e-05,1.94315e-05,8.0965e-06,1.1335e-05,6.4772e-06,1.78122e-05,9.7157e-06,1.6193e-06,8.0965e-06,8.0965e-06,1.61929e-05,0.0491932611,0.0397859163,0.0515710134,0.0492134863,0.0420741685,0.0441107122,0.0431369125,0.0464863771,0.0449442259,1.61929e-05,0.0433591485,0.0458044977,0.0414436341,0.0433306705,0.0469545644,0.0409504717,0.0411962451,0.0445892954,0.0401803767,0.0426597242,2.42894e-05,0.0408586666,0.0414908244,0.0368131572,0.0395644166,4.8579e-06,1.78122e-05,2.59087e-05,1.1335e-05,1.61929e-05
4JOIC,1,1.56085e-05,7.8043e-06,5.46299e-05,1.56085e-05,2.73149e-05,1.95107e-05,3.12171e-05,1.56085e-05,2.34128e-05,3.9021e-06,1.56085e-05,3.51192e-05,4.29235e-05,0.0461128719,0.0480753683,0.0469149389,0.0506614817,0.0530707628,0.0450069818,0.0445824719,0.0449914349,0.0447143407,7.8043e-06,0.0342895424,0.0394760988,0.0441364872,0.0437865527,0.0427183056,0.0421702761,0.0371810007,0.0439442312,0.0443578687,0.0367110031,2.73149e-05,0.0433292887,0.0372736999,0.046485306,0.0395375281,1.56085e-05,1.95107e-05,3.12171e-05,3.90213e-05,2.34128e-05,1.40739e-05,7.037e-06,4.92587e-05,1.40739e-05,2.46293e-05,1.75924e-05,2.81478e-05,1.40739e-05,2.11109e-05,3.5185e-06,1.40739e-05,3.16663e-05,3.87032e-05,0.0479035006,0.0464556882,0.0460185205,0.0458502142,0.0522240507,0.0495832211,0.0471115956,0.0458225007,0.0427711014,7.037e-06,0.043479963,0.0422390876,0.0430030864,0.0446119368,0.0398493769,0.0418001037,0.0399270683,0.0403535018,0.0454633888,0.0400977397,2.46293e-05,0.0392720385,0.0376577345,0.0393790703,0.0386997749,1.40739e-05,1.75924e-05,2.81478e-05,3.51848e-05,2.11109e-05
4JOIA,1,1.01789e-05,3.05368e-05,1.62863e-05,2.23936e-05,1.22147e-05,1.22147e-05,1.62863e-05,2.44294e-05,1.22147e-05,8.1431e-06,2.03578e-05,2.64652e-05,2.03578e-05,0.049543966,0.0432291095,0.0504566471,0.0548462632,0.0421656633,0.0534283327,0.0413153297,0.0359253495,0.0416310313,1.01789e-05,0.0466872023,0.0431441355,0.0425304729,0.040979026,0.0409515699,0.042696753,0.0377299919,0.0462361652,0.0345992437,0.0451485492,1.83221e-05,0.0383455598,0.0453483874,0.0387384211,0.0439869251,1.42505e-05,1.42505e-05,2.44294e-05,1.62863e-05,6.1074e-06,8.9327e-06,2.67982e-05,1.42924e-05,1.9652e-05,1.07193e-05,1.07193e-05,1.42924e-05,2.14386e-05,1.07193e-05,7.1462e-06,1.78655e-05,2.32251e-05,1.78655e-05,0.0468568856,0.0436853027,0.0445109852,0.048638333,0.0489510193,0.048045716,0.045127698,0.0425316809,0.0450298694,8.9327e-06,0.04511408,0.0448486663,0.042729714,0.0464028309,0.0392357949,0.0413524096,0.0409165987,0.0429456694,0.0363876368,0.04156202,1.60789e-05,0.0404853356,0.0439438105,0.0400559436,0.0403472193,1.25058e-05,1.25058e-05,2.14386e-05,1.42924e-05,5.3596e-06
4JOLA,1,3.0799e-05,4.61986e-05,7.69976e-05,3.0799e-05,7.69976e-05,0.0,0.0,4.61986e-05,4.61986e-05,4.61986e-05,1.53995e-05,0.0001385957,3.0799e-05,0.0624672513,0.0452854181,0.056250975,0.0586424838,0.0475035597,0.0399815497,0.0511825226,0.0514500834,0.0433875669,4.61986e-05,0.0387105079,0.0420333337,0.046692079,0.0430317829,0.0456489626,0.0499957884,0.04002028,0.0346835852,0.0314440442,0.0280004028,6.15981e-05,0.0376099882,0.0375887518,0.0334110582,0.034007855,3.0799e-05,0.0001539952,1.53995e-05,0.0,7.69976e-05,2.4848e-05,3.7272e-05,6.212e-05,2.4848e-05,6.212e-05,0.0,0.0,3.7272e-05,3.7272e-05,3.7272e-05,1.2424e-05,0.0001118161,2.4848e-05,0.0573039578,0.0560770155,0.0521952941,0.0545047389,0.0529265235,0.0434351601,0.0491395756,0.049088698,0.0416144767,3.7272e-05,0.0401754096,0.0422022636,0.0414039722,0.0416291666,0.0379665056,0.0439963711,0.0443766346,0.0362206787,0.0382598337,0.0381994468,4.9696e-05,0.0376320945,0.0331156023,0.0336329749,0.034120893,2.4848e-05,0.0001242401,1.2424e-05,0.0,6.212e-05
4JLXA,1,2.8278e-06,4.9486e-06,6.3624e-06,7.4228e-06,5.6555e-06,7.7763e-06,7.7763e-06,6.009e-06,4.2416e-06,5.6555e-06,4.2416e-06,7.7763e-06,8.8367e-06,0.0425651646,0.0463586842,0.0454849115,0.0439316094,0.0424391812,0.0424632428,0.0437992913,0.0458432227,0.0413678182,3.5347e-06,0.0487608883,0.0455195673,0.0425144026,0.0390430875,0.0432344131,0.0412078733,0.0420438153,0.0442703094,0.0378188582,0.047181755,5.6555e-06,0.0446722549,0.0446945083,0.0436731349,0.0409829897,8.4833e-06,8.4833e-06,8.8367e-06,5.6555e-06,8.8367e-06,2.9315e-06,5.1302e-06,6.5959e-06,7.6953e-06,5.8631e-06,8.0617e-06,8.0617e-06,6.2295e-06,4.3973e-06,5.8631e-06,4.3973e-06,8.0617e-06,9.161e-06,0.0448430869,0.0420481348,0.0436739779,0.0454733573,0.0466317227,0.0446595213,0.0424457467,0.0429601716,0.0409323447,3.6644e-06,0.0459634241,0.0467754114,0.0458729434,0.0450301542,0.0440779282,0.0430052772,0.0409599412,0.0447714516,0.042231533,0.0423508821,5.8631e-06,0.0414123376,0.0404633481,0.0433295778,0.0399539755,8.7946e-06,8.7946e-06,9.161e-06,5.8631e-06,9.161e-06
